Date,Browser,Openshift + Visits
6-Mar-16,Microsoft Internet Explorer 7.0,1
7-Mar-16,Microsoft Internet Explorer 11,889
7-Mar-16,Microsoft Internet Explorer 8,85
7-Mar-16,Microsoft Internet Explorer 9,54
7-Mar-16,Microsoft Internet Explorer 10,49
7-Mar-16,Internet Explorer Mobile 11.0,39
7-Mar-16,Microsoft Internet Explorer (unknown version),5
7-Mar-16,Internet Explorer 11.0,3
7-Mar-16,Microsoft MSN Explorer,2
8-Mar-16,Microsoft Internet Explorer 11,917
8-Mar-16,Microsoft Internet Explorer 8,64
8-Mar-16,Microsoft Internet Explorer 9,56
8-Mar-16,Microsoft Internet Explorer 10,47
8-Mar-16,Internet Explorer Mobile 11.0,40
8-Mar-16,Internet Explorer 11.0,3
8-Mar-16,Microsoft Internet Explorer (unknown version),3
9-Mar-16,Microsoft Internet Explorer 11,864
9-Mar-16,Microsoft Internet Explorer 8,62
9-Mar-16,Microsoft Internet Explorer 9,59
9-Mar-16,Microsoft Internet Explorer 10,38
9-Mar-16,Internet Explorer Mobile 11.0,26
9-Mar-16,Internet Explorer 11.0,6
9-Mar-16,Microsoft Internet Explorer (unknown version),4
9-Mar-16,Internet Explorer 10.0,2
10-Mar-16,Microsoft Internet Explorer 11,844
10-Mar-16,Microsoft Internet Explorer 9,61
10-Mar-16,Microsoft Internet Explorer 8,51
10-Mar-16,Microsoft Internet Explorer 10,46
10-Mar-16,Internet Explorer Mobile 11.0,39
10-Mar-16,Microsoft Internet Explorer (unknown version),9
10-Mar-16,Internet Explorer 11.0,2
10-Mar-16,Microsoft MSN Explorer 9.0,1
11-Mar-16,Microsoft Internet Explorer 11,644
11-Mar-16,Microsoft Internet Explorer 9,50
11-Mar-16,Microsoft Internet Explorer 8,50
11-Mar-16,Internet Explorer Mobile 11.0,43
11-Mar-16,Microsoft Internet Explorer 10,41
11-Mar-16,Internet Explorer 11.0,2
11-Mar-16,Microsoft MSN Explorer 9.0,1
11-Mar-16,Microsoft Internet Explorer (unknown version),1
12-Mar-16,Microsoft Internet Explorer 11,353
12-Mar-16,Internet Explorer Mobile 11.0,43
12-Mar-16,Microsoft Internet Explorer 9,35
12-Mar-16,Microsoft Internet Explorer 8,29
12-Mar-16,Microsoft Internet Explorer 10,16
12-Mar-16,Internet Explorer 11.0,3
12-Mar-16,Microsoft Internet Explorer 7.0,1
13-Mar-16,Microsoft Internet Explorer 11,375
13-Mar-16,Microsoft Internet Explorer 9,35
13-Mar-16,Internet Explorer Mobile 11.0,33
13-Mar-16,Microsoft Internet Explorer 10,18
13-Mar-16,Microsoft Internet Explorer 8,18
13-Mar-16,Internet Explorer 11.0,2
13-Mar-16,Internet Explorer 9.0,1
14-Mar-16,Microsoft Internet Explorer 11,814
14-Mar-16,Microsoft Internet Explorer 9,46
14-Mar-16,Microsoft Internet Explorer 8,36
14-Mar-16,Microsoft Internet Explorer 10,29
14-Mar-16,Internet Explorer Mobile 11.0,21
14-Mar-16,Internet Explorer 11.0,2
14-Mar-16,Internet Explorer 10.0,1
14-Mar-16,Microsoft Internet Explorer (unknown version),1
15-Mar-16,Microsoft Internet Explorer 11,851
15-Mar-16,Microsoft Internet Explorer 9,73
15-Mar-16,Microsoft Internet Explorer 8,49
15-Mar-16,Microsoft Internet Explorer 10,44
15-Mar-16,Internet Explorer Mobile 11.0,34
15-Mar-16,Internet Explorer 9.0,2
15-Mar-16,Microsoft Internet Explorer 6.0,2
15-Mar-16,Internet Explorer 11.0,1
16-Mar-16,Microsoft Internet Explorer 11,826
16-Mar-16,Microsoft Internet Explorer 9,69
16-Mar-16,Microsoft Internet Explorer 8,45
16-Mar-16,Microsoft Internet Explorer 10,31
16-Mar-16,Internet Explorer Mobile 11.0,27
16-Mar-16,Internet Explorer 11.0,2
16-Mar-16,Microsoft MSN Explorer,1
17-Mar-16,Microsoft Internet Explorer 11,770
17-Mar-16,Microsoft Internet Explorer 9,55
17-Mar-16,Microsoft Internet Explorer 8,49
17-Mar-16,Microsoft Internet Explorer 10,45
17-Mar-16,Internet Explorer Mobile 11.0,27
17-Mar-16,Internet Explorer 11.0,1
17-Mar-16,Microsoft Internet Explorer 7.0,1
17-Mar-16,Microsoft Internet Explorer 6.0,1
18-Mar-16,Microsoft Internet Explorer 11,572
18-Mar-16,Microsoft Internet Explorer 9,32
18-Mar-16,Microsoft Internet Explorer 8,29
18-Mar-16,Microsoft Internet Explorer 10,24
18-Mar-16,Internet Explorer Mobile 11.0,10
18-Mar-16,Internet Explorer 11.0,2
18-Mar-16,Microsoft Internet Explorer 6.0,1
18-Mar-16,Microsoft MSN Explorer,1
19-Mar-16,Microsoft Internet Explorer 11,117
19-Mar-16,Microsoft Internet Explorer 9,19
19-Mar-16,Microsoft Internet Explorer 8,15
19-Mar-16,Microsoft Internet Explorer 10,8
19-Mar-16,Internet Explorer Mobile 11.0,4
19-Mar-16,Internet Explorer 11.0,1
19-Mar-16,Microsoft Internet Explorer 7.0,1
19-Mar-16,Microsoft Internet Explorer 6.0,1
20-Mar-16,Microsoft Internet Explorer 11,123
20-Mar-16,Microsoft Internet Explorer 9,30
20-Mar-16,Internet Explorer Mobile 11.0,17
20-Mar-16,Microsoft Internet Explorer 8,9
20-Mar-16,Microsoft Internet Explorer 10,6
21-Mar-16,Microsoft Internet Explorer 11,381
21-Mar-16,Microsoft Internet Explorer 9,30
21-Mar-16,Microsoft Internet Explorer 8,23
21-Mar-16,Microsoft Internet Explorer 10,22
21-Mar-16,Internet Explorer Mobile 11.0,9
22-Mar-16,Microsoft Internet Explorer 11,426
22-Mar-16,Microsoft Internet Explorer 8,25
22-Mar-16,Microsoft Internet Explorer 9,22
22-Mar-16,Internet Explorer Mobile 11.0,13
22-Mar-16,Microsoft Internet Explorer 10,12
22-Mar-16,Internet Explorer 11.0,1
22-Mar-16,Microsoft Internet Explorer 7.0,1
23-Mar-16,Microsoft Internet Explorer 11,390
23-Mar-16,Microsoft Internet Explorer 8,26
23-Mar-16,Microsoft Internet Explorer 9,25
23-Mar-16,Internet Explorer Mobile 11.0,16
23-Mar-16,Microsoft Internet Explorer 10,12
23-Mar-16,Internet Explorer 11.0,2
24-Mar-16,Microsoft Internet Explorer 11,343
24-Mar-16,Microsoft Internet Explorer 9,26
24-Mar-16,Microsoft Internet Explorer 8,25
24-Mar-16,Microsoft Internet Explorer 10,15
24-Mar-16,Internet Explorer Mobile 11.0,12
24-Mar-16,Microsoft MSN Explorer,1
25-Mar-16,Microsoft Internet Explorer 11,244
25-Mar-16,Microsoft Internet Explorer 9,32
25-Mar-16,Internet Explorer Mobile 11.0,16
25-Mar-16,Microsoft Internet Explorer 8,16
25-Mar-16,Internet Explorer 11.0,3
25-Mar-16,Microsoft Internet Explorer 10,2
25-Mar-16,Microsoft Internet Explorer 6.0,1
26-Mar-16,Microsoft Internet Explorer 11,116
26-Mar-16,Internet Explorer Mobile 11.0,24
26-Mar-16,Microsoft Internet Explorer 9,21
26-Mar-16,Microsoft Internet Explorer 10,9
26-Mar-16,Microsoft Internet Explorer 8,5
26-Mar-16,Internet Explorer 11.0,2
26-Mar-16,Internet Explorer Mobile 9.0,1
26-Mar-16,Microsoft Internet Explorer 6.0,1
27-Mar-16,Microsoft Internet Explorer 11,114
27-Mar-16,Microsoft Internet Explorer 9,25
27-Mar-16,Internet Explorer Mobile 11.0,10
27-Mar-16,Microsoft Internet Explorer 10,8
27-Mar-16,Microsoft Internet Explorer 8,8
28-Mar-16,Microsoft Internet Explorer 11,353
28-Mar-16,Microsoft Internet Explorer 9,31
28-Mar-16,Microsoft Internet Explorer 8,21
28-Mar-16,Internet Explorer Mobile 11.0,12
28-Mar-16,Microsoft Internet Explorer 10,11
28-Mar-16,Internet Explorer 11.0,3
28-Mar-16,Microsoft MSN Explorer,1
29-Mar-16,Microsoft Internet Explorer 11,458
29-Mar-16,Microsoft Internet Explorer 10,25
29-Mar-16,Microsoft Internet Explorer 8,21
29-Mar-16,Microsoft Internet Explorer 9,13
29-Mar-16,Internet Explorer Mobile 11.0,6
29-Mar-16,Internet Explorer 11.0,2
29-Mar-16,Microsoft MSN Explorer,1
30-Mar-16,Microsoft Internet Explorer 11,441
30-Mar-16,Microsoft Internet Explorer 9,33
30-Mar-16,Microsoft Internet Explorer 10,21
30-Mar-16,Microsoft Internet Explorer 8,17
30-Mar-16,Internet Explorer Mobile 11.0,16
30-Mar-16,Internet Explorer 11.0,3
30-Mar-16,Microsoft Internet Explorer (unknown version),2
31-Mar-16,Microsoft Internet Explorer 11,454
31-Mar-16,Microsoft Internet Explorer 9,25
31-Mar-16,Microsoft Internet Explorer 8,22
31-Mar-16,Internet Explorer Mobile 11.0,11
31-Mar-16,Microsoft Internet Explorer 10,11
1-Apr-16,Microsoft Internet Explorer 11,398
1-Apr-16,Microsoft Internet Explorer 9,28
1-Apr-16,Microsoft Internet Explorer 8,19
1-Apr-16,Internet Explorer Mobile 11.0,13
1-Apr-16,Microsoft Internet Explorer 10,13
1-Apr-16,Microsoft Internet Explorer 7.0,1
2-Apr-16,Microsoft Internet Explorer 11,118
2-Apr-16,Microsoft Internet Explorer 9,14
2-Apr-16,Internet Explorer Mobile 11.0,9
2-Apr-16,Microsoft Internet Explorer 8,9
2-Apr-16,Microsoft Internet Explorer 10,8
2-Apr-16,Microsoft Internet Explorer 7.0,2
3-Apr-16,Microsoft Internet Explorer 11,121
3-Apr-16,Microsoft Internet Explorer 9,30
3-Apr-16,Microsoft Internet Explorer 8,18
3-Apr-16,Microsoft Internet Explorer 10,13
3-Apr-16,Internet Explorer Mobile 11.0,11
3-Apr-16,Microsoft Internet Explorer (unknown version),1
4-Apr-16,Microsoft Internet Explorer 11,421
4-Apr-16,Microsoft Internet Explorer 9,64
4-Apr-16,Microsoft Internet Explorer 10,20
4-Apr-16,Microsoft Internet Explorer 8,20
4-Apr-16,Internet Explorer 11.0,2
4-Apr-16,Microsoft MSN Explorer,2
4-Apr-16,Internet Explorer Mobile 11.0,1
4-Apr-16,Internet Explorer 10.0,1
5-Apr-16,Microsoft Internet Explorer 11,393
5-Apr-16,Microsoft Internet Explorer 9,66
5-Apr-16,Microsoft Internet Explorer 8,11
5-Apr-16,Microsoft Internet Explorer 10,10
5-Apr-16,Internet Explorer Mobile 11.0,7
5-Apr-16,Microsoft Internet Explorer 7.0,2
5-Apr-16,Internet Explorer 11.0,1
5-Apr-16,Microsoft Internet Explorer 6.0,1
6-Apr-16,Microsoft Internet Explorer 11,448
6-Apr-16,Microsoft Internet Explorer 9,33
6-Apr-16,Microsoft Internet Explorer 8,25
6-Apr-16,Microsoft Internet Explorer 10,19
6-Apr-16,Internet Explorer Mobile 11.0,13
6-Apr-16,Internet Explorer 11.0,1
6-Apr-16,Microsoft Internet Explorer 7.0,1
7-Apr-16,Microsoft Internet Explorer 11,405
7-Apr-16,Microsoft Internet Explorer 9,41
7-Apr-16,Internet Explorer Mobile 11.0,20
7-Apr-16,Microsoft Internet Explorer 10,18
7-Apr-16,Microsoft Internet Explorer 8,18
7-Apr-16,Microsoft Internet Explorer (unknown version),1
7-Apr-16,Microsoft Internet Explorer 7.0,1
8-Apr-16,Microsoft Internet Explorer 11,374
8-Apr-16,Microsoft Internet Explorer 9,31
8-Apr-16,Microsoft Internet Explorer 8,19
8-Apr-16,Microsoft Internet Explorer 10,15
8-Apr-16,Internet Explorer Mobile 11.0,13
8-Apr-16,Microsoft Internet Explorer 7.0,3
8-Apr-16,Microsoft MSN Explorer,2
9-Apr-16,Microsoft Internet Explorer 11,149
9-Apr-16,Microsoft Internet Explorer 9,28
9-Apr-16,Microsoft Internet Explorer 8,18
9-Apr-16,Internet Explorer Mobile 11.0,15
9-Apr-16,Microsoft Internet Explorer 10,8
9-Apr-16,Microsoft Internet Explorer 7.0,3
10-Apr-16,Microsoft Internet Explorer 11,189
10-Apr-16,Microsoft Internet Explorer 9,30
10-Apr-16,Internet Explorer Mobile 11.0,14
10-Apr-16,Microsoft Internet Explorer 8,14
10-Apr-16,Microsoft Internet Explorer 10,12
10-Apr-16,Microsoft Internet Explorer 7.0,3
10-Apr-16,Internet Explorer 11.0,2
11-Apr-16,Microsoft Internet Explorer 11,444
11-Apr-16,Microsoft Internet Explorer 9,39
11-Apr-16,Microsoft Internet Explorer 8,34
11-Apr-16,Microsoft Internet Explorer 10,19
11-Apr-16,Internet Explorer Mobile 11.0,12
11-Apr-16,Microsoft Internet Explorer 7.0,4
11-Apr-16,Microsoft Internet Explorer (unknown version),1
12-Apr-16,Microsoft Internet Explorer 11,453
12-Apr-16,Microsoft Internet Explorer 9,44
12-Apr-16,Microsoft Internet Explorer 8,23
12-Apr-16,Microsoft Internet Explorer 10,21
12-Apr-16,Internet Explorer Mobile 11.0,8
12-Apr-16,Internet Explorer 11.0,1
12-Apr-16,Microsoft MSN Explorer,1
13-Apr-16,Microsoft Internet Explorer 11,382
13-Apr-16,Microsoft Internet Explorer 9,33
13-Apr-16,Microsoft Internet Explorer 10,22
13-Apr-16,Microsoft Internet Explorer 8,14
13-Apr-16,Internet Explorer Mobile 11.0,9
14-Apr-16,Microsoft Internet Explorer 11,434
14-Apr-16,Microsoft Internet Explorer 9,47
14-Apr-16,Microsoft Internet Explorer 10,19
14-Apr-16,Microsoft Internet Explorer 8,19
14-Apr-16,Internet Explorer Mobile 11.0,17
14-Apr-16,Microsoft Internet Explorer (unknown version),1
14-Apr-16,Microsoft Internet Explorer 7.0,1
15-Apr-16,Microsoft Internet Explorer 11,380
15-Apr-16,Microsoft Internet Explorer 9,34
15-Apr-16,Microsoft Internet Explorer 8,16
15-Apr-16,Microsoft Internet Explorer 10,12
15-Apr-16,Internet Explorer Mobile 11.0,10
15-Apr-16,Microsoft Internet Explorer 6.0,2
15-Apr-16,Microsoft MSN Explorer,1
16-Apr-16,Microsoft Internet Explorer 11,124
16-Apr-16,Microsoft Internet Explorer 9,35
16-Apr-16,Microsoft Internet Explorer 8,11
16-Apr-16,Internet Explorer Mobile 11.0,7
16-Apr-16,Microsoft Internet Explorer 10,1
16-Apr-16,Microsoft Internet Explorer 7.0,1
17-Apr-16,Microsoft Internet Explorer 11,149
17-Apr-16,Microsoft Internet Explorer 9,25
17-Apr-16,Microsoft Internet Explorer 8,12
17-Apr-16,Internet Explorer Mobile 11.0,11
17-Apr-16,Microsoft Internet Explorer 10,4
17-Apr-16,Internet Explorer 11.0,1
17-Apr-16,Microsoft Internet Explorer 6.0,1
18-Apr-16,Microsoft Internet Explorer 11,464
18-Apr-16,Microsoft Internet Explorer 9,37
18-Apr-16,Microsoft Internet Explorer 10,30
18-Apr-16,Microsoft Internet Explorer 8,21
18-Apr-16,Internet Explorer Mobile 11.0,13
18-Apr-16,Microsoft Internet Explorer 7.0,2
19-Apr-16,Microsoft Internet Explorer 11,481
19-Apr-16,Microsoft Internet Explorer 9,76
19-Apr-16,Microsoft Internet Explorer 8,23
19-Apr-16,Internet Explorer Mobile 11.0,12
19-Apr-16,Microsoft Internet Explorer 10,10
19-Apr-16,Microsoft Internet Explorer (unknown version),1
20-Apr-16,Microsoft Internet Explorer 11,444
20-Apr-16,Microsoft Internet Explorer 9,37
20-Apr-16,Microsoft Internet Explorer 8,22
20-Apr-16,Microsoft Internet Explorer 10,10
20-Apr-16,Internet Explorer Mobile 11.0,8
20-Apr-16,Microsoft Internet Explorer 6.0,1
21-Apr-16,Microsoft Internet Explorer 11,421
21-Apr-16,Microsoft Internet Explorer 9,40
21-Apr-16,Microsoft Internet Explorer 8,23
21-Apr-16,Microsoft Internet Explorer 10,20
21-Apr-16,Internet Explorer Mobile 11.0,15
21-Apr-16,Microsoft Internet Explorer 7.0,1
22-Apr-16,Microsoft Internet Explorer 11,376
22-Apr-16,Microsoft Internet Explorer 9,22
22-Apr-16,Microsoft Internet Explorer 8,16
22-Apr-16,Microsoft Internet Explorer 10,12
22-Apr-16,Internet Explorer Mobile 11.0,8
22-Apr-16,Microsoft Internet Explorer 7.0,3
23-Apr-16,Microsoft Internet Explorer 11,126
23-Apr-16,Microsoft Internet Explorer 9,26
23-Apr-16,Microsoft Internet Explorer 8,14
23-Apr-16,Internet Explorer Mobile 11.0,9
23-Apr-16,Microsoft Internet Explorer 10,5
23-Apr-16,Internet Explorer 11.0,1
24-Apr-16,Microsoft Internet Explorer 11,128
24-Apr-16,Microsoft Internet Explorer 9,30
24-Apr-16,Microsoft Internet Explorer 8,20
24-Apr-16,Internet Explorer Mobile 11.0,14
24-Apr-16,Microsoft Internet Explorer 10,8
24-Apr-16,Microsoft Internet Explorer 7.0,4
24-Apr-16,Internet Explorer 11.0,1
25-Apr-16,Microsoft Internet Explorer 11,381
25-Apr-16,Microsoft Internet Explorer 9,29
25-Apr-16,Microsoft Internet Explorer 8,23
25-Apr-16,Microsoft Internet Explorer 10,19
25-Apr-16,Internet Explorer Mobile 11.0,13
25-Apr-16,Microsoft Internet Explorer 7.0,4
25-Apr-16,Microsoft Internet Explorer (unknown version),2
25-Apr-16,Microsoft Internet Explorer 6.0,1
26-Apr-16,Microsoft Internet Explorer 11,488
26-Apr-16,Microsoft Internet Explorer 9,82
26-Apr-16,Microsoft Internet Explorer 8,27
26-Apr-16,Internet Explorer Mobile 11.0,13
26-Apr-16,Microsoft Internet Explorer 10,12
26-Apr-16,Microsoft MSN Explorer 9.0,1
26-Apr-16,Microsoft Internet Explorer (unknown version),1
26-Apr-16,Microsoft Internet Explorer 7.0,1
27-Apr-16,Microsoft Internet Explorer 11,536
27-Apr-16,Microsoft Internet Explorer 9,37
27-Apr-16,Microsoft Internet Explorer 8,31
27-Apr-16,Internet Explorer Mobile 11.0,30
27-Apr-16,Microsoft Internet Explorer 10,14
27-Apr-16,Microsoft Internet Explorer 7.0,3
27-Apr-16,Microsoft Internet Explorer 6.0,2
27-Apr-16,Internet Explorer 11.0,1
28-Apr-16,Microsoft Internet Explorer 11,548
28-Apr-16,Microsoft Internet Explorer 9,53
28-Apr-16,Internet Explorer Mobile 11.0,34
28-Apr-16,Microsoft Internet Explorer 8,19
28-Apr-16,Microsoft Internet Explorer 10,12
28-Apr-16,Microsoft Internet Explorer (unknown version),1
28-Apr-16,Microsoft Internet Explorer 7.0,1
29-Apr-16,Microsoft Internet Explorer 11,374
29-Apr-16,Microsoft Internet Explorer 9,45
29-Apr-16,Internet Explorer Mobile 11.0,40
29-Apr-16,Microsoft Internet Explorer 8,34
29-Apr-16,Microsoft Internet Explorer 10,10
29-Apr-16,Microsoft Internet Explorer (unknown version),2
30-Apr-16,Microsoft Internet Explorer 11,135
30-Apr-16,Microsoft Internet Explorer 9,71
30-Apr-16,Internet Explorer Mobile 11.0,43
30-Apr-16,Microsoft Internet Explorer 8,18
30-Apr-16,Microsoft Internet Explorer 10,8
1-May-16,Microsoft Internet Explorer 11,154
1-May-16,Microsoft Internet Explorer 9,49
1-May-16,Internet Explorer Mobile 11.0,29
1-May-16,Microsoft Internet Explorer 10,7
1-May-16,Microsoft Internet Explorer 8,7
1-May-16,Microsoft Internet Explorer 7.0,1
2-May-16,Microsoft Internet Explorer 11,414
2-May-16,Microsoft Internet Explorer 10,25
2-May-16,Internet Explorer Mobile 11.0,24
2-May-16,Microsoft Internet Explorer 9,21
2-May-16,Microsoft Internet Explorer 8,13
3-May-16,Microsoft Internet Explorer 11,434
3-May-16,Internet Explorer Mobile 11.0,35
3-May-16,Microsoft Internet Explorer 8,25
3-May-16,Microsoft Internet Explorer 9,23
3-May-16,Microsoft Internet Explorer 10,17
3-May-16,Internet Explorer 11.0,2
3-May-16,Microsoft Internet Explorer 7.0,1
4-May-16,Microsoft Internet Explorer 11,402
4-May-16,Microsoft Internet Explorer 9,34
4-May-16,Internet Explorer Mobile 11.0,26
4-May-16,Microsoft Internet Explorer 8,17
4-May-16,Microsoft Internet Explorer 10,15
4-May-16,Microsoft Internet Explorer 7.0,2
4-May-16,Microsoft Internet Explorer (unknown version),1
5-May-16,Microsoft Internet Explorer 11,326
5-May-16,Internet Explorer Mobile 11.0,28
5-May-16,Microsoft Internet Explorer 9,27
5-May-16,Microsoft Internet Explorer 10,14
5-May-16,Microsoft Internet Explorer 8,12
6-May-16,Microsoft Internet Explorer 11,299
6-May-16,Microsoft Internet Explorer 9,38
6-May-16,Internet Explorer Mobile 11.0,28
6-May-16,Microsoft Internet Explorer 10,21
6-May-16,Microsoft Internet Explorer 8,18
6-May-16,Internet Explorer 11.0,1
6-May-16,Microsoft Internet Explorer 7.0,1
7-May-16,Microsoft Internet Explorer 11,125
7-May-16,Microsoft Internet Explorer 9,41
7-May-16,Internet Explorer Mobile 11.0,35
7-May-16,Microsoft Internet Explorer 8,15
7-May-16,Microsoft Internet Explorer 10,8
8-May-16,Microsoft Internet Explorer 11,147
8-May-16,Microsoft Internet Explorer 9,48
8-May-16,Internet Explorer Mobile 11.0,21
8-May-16,Microsoft Internet Explorer 10,8
8-May-16,Microsoft Internet Explorer 8,6
8-May-16,Internet Explorer 11.0,2
8-May-16,Microsoft Internet Explorer (unknown version),1
9-May-16,Microsoft Internet Explorer 11,452
9-May-16,Internet Explorer Mobile 11.0,38
9-May-16,Microsoft Internet Explorer 10,21
9-May-16,Microsoft Internet Explorer 9,20
9-May-16,Microsoft Internet Explorer 8,17
9-May-16,Internet Explorer 11.0,2
9-May-16,Microsoft Internet Explorer 7.0,1
9-May-16,Microsoft MSN Explorer,1
10-May-16,Microsoft Internet Explorer 11,431
10-May-16,Internet Explorer Mobile 11.0,58
