Date,Browser,Visits
6-Mar-16,Microsoft Internet Explorer 10,36
6-Mar-16,Internet Explorer Mobile 11.0,5
6-Mar-16,Microsoft Internet Explorer (unknown version),2
6-Mar-16,Microsoft Internet Explorer 7.0,1
6-Mar-16,Microsoft Internet Explorer 6.0,1
7-Mar-16,Microsoft Internet Explorer 11,2367
7-Mar-16,Microsoft Internet Explorer 9,233
7-Mar-16,Microsoft Internet Explorer 10,163
7-Mar-16,Microsoft Internet Explorer 8,151
7-Mar-16,Internet Explorer Mobile 11.0,15
7-Mar-16,Microsoft Internet Explorer 6.0,3
7-Mar-16,Microsoft Internet Explorer (unknown version),2
7-Mar-16,Microsoft Internet Explorer 7.0,2
8-Mar-16,Microsoft Internet Explorer 11,2502
8-Mar-16,Microsoft Internet Explorer 9,253
8-Mar-16,Microsoft Internet Explorer 10,166
8-Mar-16,Microsoft Internet Explorer 8,151
8-Mar-16,Internet Explorer Mobile 11.0,23
8-Mar-16,Microsoft Internet Explorer 7.0,5
8-Mar-16,Microsoft Internet Explorer (unknown version),2
9-Mar-16,Microsoft Internet Explorer 11,2434
9-Mar-16,Microsoft Internet Explorer 9,298
9-Mar-16,Microsoft Internet Explorer 10,160
9-Mar-16,Microsoft Internet Explorer 8,147
9-Mar-16,Internet Explorer Mobile 11.0,20
9-Mar-16,Microsoft Internet Explorer (unknown version),3
9-Mar-16,Microsoft Internet Explorer 7.0,3
9-Mar-16,Microsoft Internet Explorer 6.0,1
10-Mar-16,Microsoft Internet Explorer 11,2507
10-Mar-16,Microsoft Internet Explorer 9,257
10-Mar-16,Microsoft Internet Explorer 8,152
10-Mar-16,Microsoft Internet Explorer 10,123
10-Mar-16,Internet Explorer Mobile 11.0,8
10-Mar-16,Microsoft Internet Explorer 7.0,3
10-Mar-16,Microsoft Internet Explorer (unknown version),2
10-Mar-16,Microsoft Internet Explorer 6.0,2
11-Mar-16,Microsoft Internet Explorer 11,1919
11-Mar-16,Microsoft Internet Explorer 9,218
11-Mar-16,Microsoft Internet Explorer 10,124
11-Mar-16,Microsoft Internet Explorer 8,101
11-Mar-16,Internet Explorer Mobile 11.0,11
11-Mar-16,Microsoft Internet Explorer 6.0,4
11-Mar-16,Microsoft Internet Explorer (unknown version),1
11-Mar-16,Microsoft Internet Explorer 7.0,1
12-Mar-16,Microsoft Internet Explorer 11,321
12-Mar-16,Microsoft Internet Explorer 9,78
12-Mar-16,Microsoft Internet Explorer 8,27
12-Mar-16,Microsoft Internet Explorer 10,18
12-Mar-16,Internet Explorer Mobile 11.0,10
12-Mar-16,Internet Explorer 10.0,1
12-Mar-16,Microsoft Internet Explorer 6.0,1
13-Mar-16,Microsoft Internet Explorer 11,391
13-Mar-16,Microsoft Internet Explorer 9,73
13-Mar-16,Microsoft Internet Explorer 8,45
13-Mar-16,Microsoft Internet Explorer 10,31
13-Mar-16,Internet Explorer Mobile 11.0,10
13-Mar-16,Microsoft Internet Explorer 7.0,1
13-Mar-16,Microsoft Internet Explorer 6.0,1
14-Mar-16,Microsoft Internet Explorer 11,2382
14-Mar-16,Microsoft Internet Explorer 9,232
14-Mar-16,Microsoft Internet Explorer 10,146
14-Mar-16,Microsoft Internet Explorer 8,135
14-Mar-16,Internet Explorer Mobile 11.0,14
14-Mar-16,Microsoft Internet Explorer (unknown version),4
14-Mar-16,Microsoft Internet Explorer 6.0,3
14-Mar-16,Microsoft Internet Explorer 7.0,1
15-Mar-16,Microsoft Internet Explorer 11,2408
15-Mar-16,Microsoft Internet Explorer 9,217
15-Mar-16,Microsoft Internet Explorer 10,144
15-Mar-16,Microsoft Internet Explorer 8,142
15-Mar-16,Internet Explorer Mobile 11.0,20
15-Mar-16,Internet Explorer 11.0,2
15-Mar-16,Microsoft Internet Explorer (unknown version),1
16-Mar-16,Microsoft Internet Explorer 11,2447
16-Mar-16,Microsoft Internet Explorer 9,240
16-Mar-16,Microsoft Internet Explorer 10,157
16-Mar-16,Microsoft Internet Explorer 8,156
16-Mar-16,Internet Explorer Mobile 11.0,10
16-Mar-16,Microsoft Internet Explorer 6.0,3
16-Mar-16,Microsoft Internet Explorer 7.0,1
17-Mar-16,Microsoft Internet Explorer 11,2475
17-Mar-16,Microsoft Internet Explorer 9,223
17-Mar-16,Microsoft Internet Explorer 8,165
17-Mar-16,Microsoft Internet Explorer 10,122
17-Mar-16,Internet Explorer Mobile 11.0,16
17-Mar-16,Microsoft Internet Explorer 6.0,6
17-Mar-16,Microsoft Internet Explorer 7.0,4
17-Mar-16,Internet Explorer Mobile 10.0,1
18-Mar-16,Microsoft Internet Explorer 11,2027
18-Mar-16,Microsoft Internet Explorer 9,208
18-Mar-16,Microsoft Internet Explorer 8,125
18-Mar-16,Microsoft Internet Explorer 10,105
18-Mar-16,Internet Explorer Mobile 11.0,16
18-Mar-16,Microsoft Internet Explorer (unknown version),3
18-Mar-16,Microsoft Internet Explorer 7.0,2
18-Mar-16,Microsoft Internet Explorer 6.0,2
19-Mar-16,Microsoft Internet Explorer 11,344
19-Mar-16,Microsoft Internet Explorer 9,109
19-Mar-16,Microsoft Internet Explorer 8,25
19-Mar-16,Microsoft Internet Explorer 10,24
19-Mar-16,Internet Explorer Mobile 11.0,8
20-Mar-16,Microsoft Internet Explorer 11,418
20-Mar-16,Microsoft Internet Explorer 9,116
20-Mar-16,Microsoft Internet Explorer 8,29
20-Mar-16,Microsoft Internet Explorer 10,25
20-Mar-16,Internet Explorer Mobile 11.0,12
20-Mar-16,Microsoft Internet Explorer 6.0,2
21-Mar-16,Microsoft Internet Explorer 11,2220
21-Mar-16,Microsoft Internet Explorer 9,215
21-Mar-16,Microsoft Internet Explorer 10,154
21-Mar-16,Microsoft Internet Explorer 8,141
21-Mar-16,Internet Explorer Mobile 11.0,14
21-Mar-16,Microsoft Internet Explorer 6.0,5
21-Mar-16,Microsoft Internet Explorer (unknown version),2
21-Mar-16,Microsoft Internet Explorer 7.0,1
22-Mar-16,Microsoft Internet Explorer 11,2405
22-Mar-16,Microsoft Internet Explorer 9,241
22-Mar-16,Microsoft Internet Explorer 10,126
22-Mar-16,Microsoft Internet Explorer 8,121
22-Mar-16,Internet Explorer Mobile 11.0,21
22-Mar-16,Microsoft Internet Explorer (unknown version),5
22-Mar-16,Microsoft Internet Explorer 6.0,3
22-Mar-16,Microsoft Internet Explorer 7.0,2
23-Mar-16,Microsoft Internet Explorer 11,2304
23-Mar-16,Microsoft Internet Explorer 9,241
23-Mar-16,Microsoft Internet Explorer 10,146
23-Mar-16,Microsoft Internet Explorer 8,114
23-Mar-16,Internet Explorer Mobile 11.0,9
23-Mar-16,Microsoft Internet Explorer 6.0,5
23-Mar-16,Microsoft Internet Explorer (unknown version),1
23-Mar-16,Microsoft Internet Explorer 7.0,1
24-Mar-16,Microsoft Internet Explorer 11,2040
24-Mar-16,Microsoft Internet Explorer 9,174
24-Mar-16,Microsoft Internet Explorer 10,101
24-Mar-16,Microsoft Internet Explorer 8,100
24-Mar-16,Microsoft Internet Explorer 6.0,9
24-Mar-16,Internet Explorer Mobile 11.0,8
24-Mar-16,Internet Explorer 10.0,1
24-Mar-16,Microsoft Internet Explorer (unknown version),1
25-Mar-16,Microsoft Internet Explorer 11,1121
25-Mar-16,Microsoft Internet Explorer 9,154
25-Mar-16,Microsoft Internet Explorer 10,62
25-Mar-16,Microsoft Internet Explorer 8,60
25-Mar-16,Internet Explorer Mobile 11.0,16
25-Mar-16,Internet Explorer Mobile 9.0,1
26-Mar-16,Microsoft Internet Explorer 11,257
26-Mar-16,Microsoft Internet Explorer 9,99
26-Mar-16,Microsoft Internet Explorer 8,23
26-Mar-16,Microsoft Internet Explorer 10,19
26-Mar-16,Internet Explorer Mobile 11.0,9
26-Mar-16,Microsoft Internet Explorer 7.0,2
26-Mar-16,Microsoft Internet Explorer (unknown version),1
27-Mar-16,Microsoft Internet Explorer 11,341
27-Mar-16,Microsoft Internet Explorer 9,118
27-Mar-16,Microsoft Internet Explorer 8,33
27-Mar-16,Microsoft Internet Explorer 10,22
27-Mar-16,Internet Explorer Mobile 11.0,8
27-Mar-16,Internet Explorer 11.0,1
27-Mar-16,Microsoft Internet Explorer 7.0,1
27-Mar-16,Microsoft Internet Explorer 6.0,1
28-Mar-16,Microsoft Internet Explorer 11,1668
28-Mar-16,Microsoft Internet Explorer 9,169
28-Mar-16,Microsoft Internet Explorer 8,108
28-Mar-16,Microsoft Internet Explorer 10,89
28-Mar-16,Internet Explorer Mobile 11.0,14
28-Mar-16,Microsoft Internet Explorer 7.0,3
28-Mar-16,Microsoft Internet Explorer 6.0,2
29-Mar-16,Microsoft Internet Explorer 11,2393
29-Mar-16,Microsoft Internet Explorer 9,209
29-Mar-16,Microsoft Internet Explorer 10,150
29-Mar-16,Microsoft Internet Explorer 8,134
29-Mar-16,Internet Explorer Mobile 11.0,9
29-Mar-16,Microsoft Internet Explorer 6.0,1
30-Mar-16,Microsoft Internet Explorer 11,2312
30-Mar-16,Microsoft Internet Explorer 9,241
30-Mar-16,Microsoft Internet Explorer 8,121
30-Mar-16,Microsoft Internet Explorer 10,109
30-Mar-16,Internet Explorer Mobile 11.0,11
30-Mar-16,Microsoft Internet Explorer 6.0,3
30-Mar-16,Microsoft Internet Explorer (unknown version),2
30-Mar-16,Microsoft Internet Explorer 7.0,1
31-Mar-16,Microsoft Internet Explorer 11,2268
31-Mar-16,Microsoft Internet Explorer 9,230
31-Mar-16,Microsoft Internet Explorer 8,149
31-Mar-16,Microsoft Internet Explorer 10,142
31-Mar-16,Internet Explorer Mobile 11.0,14
31-Mar-16,Microsoft Internet Explorer 6.0,2
31-Mar-16,Internet Explorer Mobile 9.0,1
1-Apr-16,Microsoft Internet Explorer 11,1865
1-Apr-16,Microsoft Internet Explorer 9,170
1-Apr-16,Microsoft Internet Explorer 10,124
1-Apr-16,Microsoft Internet Explorer 8,89
1-Apr-16,Internet Explorer Mobile 11.0,11
1-Apr-16,Microsoft Internet Explorer (unknown version),1
1-Apr-16,Microsoft Internet Explorer 6.0,1
2-Apr-16,Microsoft Internet Explorer 11,276
2-Apr-16,Microsoft Internet Explorer 9,87
2-Apr-16,Microsoft Internet Explorer 8,25
2-Apr-16,Microsoft Internet Explorer 10,22
2-Apr-16,Internet Explorer Mobile 11.0,8
2-Apr-16,Microsoft Internet Explorer 6.0,1
3-Apr-16,Microsoft Internet Explorer 11,347
3-Apr-16,Microsoft Internet Explorer 9,82
3-Apr-16,Microsoft Internet Explorer 10,27
3-Apr-16,Microsoft Internet Explorer 8,22
3-Apr-16,Internet Explorer Mobile 11.0,12
3-Apr-16,Microsoft Internet Explorer 6.0,2
3-Apr-16,Internet Explorer 11.0,1
3-Apr-16,Microsoft Internet Explorer 7.0,1
4-Apr-16,Microsoft Internet Explorer 11,2490
4-Apr-16,Microsoft Internet Explorer 9,213
4-Apr-16,Microsoft Internet Explorer 10,143
4-Apr-16,Microsoft Internet Explorer 8,84
4-Apr-16,Internet Explorer Mobile 11.0,9
4-Apr-16,Microsoft Internet Explorer 7.0,3
4-Apr-16,Microsoft Internet Explorer (unknown version),1
4-Apr-16,Microsoft MSN Explorer,1
5-Apr-16,Microsoft Internet Explorer 11,2564
5-Apr-16,Microsoft Internet Explorer 9,231
5-Apr-16,Microsoft Internet Explorer 10,138
5-Apr-16,Microsoft Internet Explorer 8,131
5-Apr-16,Internet Explorer Mobile 11.0,13
5-Apr-16,Microsoft Internet Explorer (unknown version),3
5-Apr-16,Internet Explorer 11.0,2
5-Apr-16,Microsoft Internet Explorer 6.0,2
6-Apr-16,Microsoft Internet Explorer 11,2485
6-Apr-16,Microsoft Internet Explorer 9,207
6-Apr-16,Microsoft Internet Explorer 8,123
6-Apr-16,Microsoft Internet Explorer 10,118
6-Apr-16,Internet Explorer Mobile 11.0,12
6-Apr-16,Microsoft Internet Explorer (unknown version),6
6-Apr-16,Microsoft Internet Explorer 6.0,4
6-Apr-16,Microsoft Internet Explorer 7.0,1
7-Apr-16,Microsoft Internet Explorer 11,2317
7-Apr-16,Microsoft Internet Explorer 9,178
7-Apr-16,Microsoft Internet Explorer 8,124
7-Apr-16,Microsoft Internet Explorer 10,115
7-Apr-16,Internet Explorer Mobile 11.0,17
7-Apr-16,Internet Explorer 11.0,3
7-Apr-16,Microsoft Internet Explorer (unknown version),2
7-Apr-16,Microsoft Internet Explorer 7.0,2
8-Apr-16,Microsoft Internet Explorer 11,1827
8-Apr-16,Microsoft Internet Explorer 9,206
8-Apr-16,Microsoft Internet Explorer 8,104
8-Apr-16,Microsoft Internet Explorer 10,82
8-Apr-16,Internet Explorer Mobile 11.0,14
8-Apr-16,Microsoft Internet Explorer (unknown version),2
8-Apr-16,Microsoft Internet Explorer 7.0,2
8-Apr-16,Internet Explorer 11.0,1
9-Apr-16,Microsoft Internet Explorer 11,330
9-Apr-16,Microsoft Internet Explorer 9,94
9-Apr-16,Microsoft Internet Explorer 8,24
9-Apr-16,Microsoft Internet Explorer 10,13
9-Apr-16,Internet Explorer Mobile 11.0,9
9-Apr-16,Microsoft Internet Explorer 6.0,2
9-Apr-16,Internet Explorer 11.0,1
9-Apr-16,Microsoft Internet Explorer 7.0,1
10-Apr-16,Microsoft Internet Explorer 11,358
10-Apr-16,Microsoft Internet Explorer 9,101
10-Apr-16,Microsoft Internet Explorer 10,30
10-Apr-16,Microsoft Internet Explorer 8,28
10-Apr-16,Internet Explorer Mobile 11.0,10
10-Apr-16,Microsoft MSN Explorer,2
10-Apr-16,Microsoft Internet Explorer (unknown version),1
11-Apr-16,Microsoft Internet Explorer 11,2459
11-Apr-16,Microsoft Internet Explorer 9,287
11-Apr-16,Microsoft Internet Explorer 10,169
11-Apr-16,Microsoft Internet Explorer 8,134
11-Apr-16,Internet Explorer Mobile 11.0,19
11-Apr-16,Microsoft Internet Explorer 7.0,2
11-Apr-16,Microsoft Internet Explorer 6.0,2
11-Apr-16,Microsoft Internet Explorer (unknown version),1
12-Apr-16,Microsoft Internet Explorer 11,2572
12-Apr-16,Microsoft Internet Explorer 9,528
12-Apr-16,Microsoft Internet Explorer 10,141
12-Apr-16,Microsoft Internet Explorer 8,128
12-Apr-16,Internet Explorer Mobile 11.0,16
12-Apr-16,Microsoft Internet Explorer 6.0,3
12-Apr-16,Internet Explorer 11.0,1
13-Apr-16,Microsoft Internet Explorer 11,2485
13-Apr-16,Microsoft Internet Explorer 9,464
13-Apr-16,Microsoft Internet Explorer 10,159
13-Apr-16,Microsoft Internet Explorer 8,123
13-Apr-16,Internet Explorer Mobile 11.0,15
13-Apr-16,Microsoft Internet Explorer (unknown version),4
13-Apr-16,Microsoft Internet Explorer 6.0,4
13-Apr-16,Microsoft Internet Explorer 7.0,2
14-Apr-16,Microsoft Internet Explorer 11,2422
14-Apr-16,Microsoft Internet Explorer 9,192
14-Apr-16,Microsoft Internet Explorer 10,118
14-Apr-16,Microsoft Internet Explorer 8,87
14-Apr-16,Internet Explorer Mobile 11.0,15
14-Apr-16,Microsoft Internet Explorer 6.0,5
14-Apr-16,Microsoft Internet Explorer 7.0,2
14-Apr-16,Microsoft MSN Explorer,2
15-Apr-16,Microsoft Internet Explorer 11,1970
15-Apr-16,Microsoft Internet Explorer 9,213
15-Apr-16,Microsoft Internet Explorer 10,101
15-Apr-16,Microsoft Internet Explorer 8,83
15-Apr-16,Internet Explorer Mobile 11.0,21
15-Apr-16,Microsoft Internet Explorer (unknown version),3
15-Apr-16,Microsoft Internet Explorer 6.0,3
15-Apr-16,Microsoft Internet Explorer 7.0,2
16-Apr-16,Microsoft Internet Explorer 11,336
16-Apr-16,Microsoft Internet Explorer 9,137
16-Apr-16,Microsoft Internet Explorer 8,23
16-Apr-16,Microsoft Internet Explorer 10,19
16-Apr-16,Internet Explorer Mobile 11.0,8
16-Apr-16,Microsoft Internet Explorer 6.0,4
17-Apr-16,Microsoft Internet Explorer 11,446
17-Apr-16,Microsoft Internet Explorer 9,118
17-Apr-16,Microsoft Internet Explorer 8,42
17-Apr-16,Microsoft Internet Explorer 10,31
17-Apr-16,Internet Explorer Mobile 11.0,9
17-Apr-16,Microsoft Internet Explorer 6.0,5
17-Apr-16,Microsoft Internet Explorer 7.0,1
18-Apr-16,Microsoft Internet Explorer 11,2500
18-Apr-16,Microsoft Internet Explorer 9,190
18-Apr-16,Microsoft Internet Explorer 8,177
18-Apr-16,Microsoft Internet Explorer 10,124
18-Apr-16,Internet Explorer Mobile 11.0,7
18-Apr-16,Microsoft Internet Explorer (unknown version),4
18-Apr-16,Microsoft Internet Explorer 7.0,2
18-Apr-16,Microsoft Internet Explorer 6.0,2
19-Apr-16,Microsoft Internet Explorer 11,2762
19-Apr-16,Microsoft Internet Explorer 8,347
19-Apr-16,Microsoft Internet Explorer 9,208
19-Apr-16,Microsoft Internet Explorer 10,141
19-Apr-16,Microsoft Internet Explorer 6.0,15
19-Apr-16,Internet Explorer Mobile 11.0,9
19-Apr-16,Microsoft Internet Explorer (unknown version),7
19-Apr-16,Microsoft Internet Explorer 7.0,3
20-Apr-16,Microsoft Internet Explorer 11,2540
20-Apr-16,Microsoft Internet Explorer 9,201
20-Apr-16,Microsoft Internet Explorer 8,182
20-Apr-16,Microsoft Internet Explorer 10,135
20-Apr-16,Internet Explorer Mobile 11.0,11
20-Apr-16,Microsoft Internet Explorer (unknown version),3
20-Apr-16,Microsoft Internet Explorer 6.0,3
20-Apr-16,Internet Explorer 11.0,2
21-Apr-16,Microsoft Internet Explorer 11,2576
21-Apr-16,Microsoft Internet Explorer 9,222
21-Apr-16,Microsoft Internet Explorer 8,128
21-Apr-16,Microsoft Internet Explorer 10,126
21-Apr-16,Internet Explorer Mobile 11.0,13
21-Apr-16,Microsoft Internet Explorer 6.0,8
21-Apr-16,Microsoft Internet Explorer (unknown version),1
21-Apr-16,Microsoft Internet Explorer 7.0,1
22-Apr-16,Microsoft Internet Explorer 11,2040
22-Apr-16,Microsoft Internet Explorer 9,216
22-Apr-16,Microsoft Internet Explorer 8,97
22-Apr-16,Microsoft Internet Explorer 10,85
22-Apr-16,Internet Explorer Mobile 11.0,14
22-Apr-16,Microsoft Internet Explorer (unknown version),2
22-Apr-16,Microsoft Internet Explorer 7.0,1
23-Apr-16,Microsoft Internet Explorer 11,367
23-Apr-16,Microsoft Internet Explorer 9,128
23-Apr-16,Microsoft Internet Explorer 8,32
23-Apr-16,Microsoft Internet Explorer 10,24
23-Apr-16,Microsoft Internet Explorer 6.0,12
23-Apr-16,Internet Explorer Mobile 11.0,6
23-Apr-16,Microsoft MSN Explorer,2
23-Apr-16,Internet Explorer 11.0,1
24-Apr-16,Microsoft Internet Explorer 11,408
24-Apr-16,Microsoft Internet Explorer 9,82
24-Apr-16,Microsoft Internet Explorer 10,36
24-Apr-16,Microsoft Internet Explorer 8,33
24-Apr-16,Internet Explorer Mobile 11.0,7
24-Apr-16,Microsoft Internet Explorer 6.0,5
24-Apr-16,Microsoft Internet Explorer (unknown version),2
24-Apr-16,Internet Explorer 11.0,1
25-Apr-16,Microsoft Internet Explorer 11,2305
25-Apr-16,Microsoft Internet Explorer 9,187
25-Apr-16,Microsoft Internet Explorer 10,126
25-Apr-16,Microsoft Internet Explorer 8,125
25-Apr-16,Internet Explorer Mobile 11.0,23
25-Apr-16,Microsoft Internet Explorer 5.5,3
25-Apr-16,Microsoft Internet Explorer 6.0,2
25-Apr-16,Microsoft Internet Explorer (unknown version),1
26-Apr-16,Microsoft Internet Explorer 11,2604
26-Apr-16,Microsoft Internet Explorer 9,238
26-Apr-16,Microsoft Internet Explorer 8,127
26-Apr-16,Microsoft Internet Explorer 10,115
26-Apr-16,Internet Explorer Mobile 11.0,11
26-Apr-16,Microsoft Internet Explorer (unknown version),2
26-Apr-16,Microsoft Internet Explorer 7.0,2
26-Apr-16,Internet Explorer 11.0,1
27-Apr-16,Microsoft Internet Explorer 11,2491
27-Apr-16,Microsoft Internet Explorer 9,243
27-Apr-16,Microsoft Internet Explorer 8,124
27-Apr-16,Microsoft Internet Explorer 10,120
27-Apr-16,Internet Explorer Mobile 11.0,15
27-Apr-16,Microsoft Internet Explorer 7.0,3
27-Apr-16,Microsoft Internet Explorer 6.0,3
27-Apr-16,Microsoft Internet Explorer (unknown version),1
28-Apr-16,Microsoft Internet Explorer 11,2331
28-Apr-16,Microsoft Internet Explorer 9,233
28-Apr-16,Microsoft Internet Explorer 10,108
28-Apr-16,Microsoft Internet Explorer 8,97
28-Apr-16,Internet Explorer Mobile 11.0,14
28-Apr-16,Microsoft Internet Explorer 6.0,2
28-Apr-16,Microsoft Internet Explorer (unknown version),1
28-Apr-16,Microsoft MSN Explorer,1
29-Apr-16,Microsoft Internet Explorer 11,1790
29-Apr-16,Microsoft Internet Explorer 9,164
29-Apr-16,Microsoft Internet Explorer 8,99
29-Apr-16,Microsoft Internet Explorer 10,80
29-Apr-16,Internet Explorer Mobile 11.0,7
29-Apr-16,Internet Explorer 10.0,1
29-Apr-16,Microsoft Internet Explorer 7.0,1
29-Apr-16,Microsoft Internet Explorer 6.0,1
30-Apr-16,Microsoft Internet Explorer 11,234
30-Apr-16,Microsoft Internet Explorer 9,120
30-Apr-16,Microsoft Internet Explorer 8,27
30-Apr-16,Microsoft Internet Explorer 10,22
30-Apr-16,Internet Explorer Mobile 11.0,8
30-Apr-16,Microsoft Internet Explorer 6.0,2
30-Apr-16,Microsoft Internet Explorer (unknown version),1
30-Apr-16,Microsoft Internet Explorer 7.0,1
