Download Link,URL,Download Link Instances
https://opensource.com/sites/default/files/2015_open_source_yearbook.pdf,https://opensource.com/node/26871/download/f6a318fbee68772e6b6396be1e217d95,1
https://opensource.com/sites/default/files/open_hardware.epub,https://opensource.com/resources/ebook/open-hardware,2
https://opensource.com/sites/default/files/beginners-in-open-source.epub,https://opensource.com/resources/ebook/how-get-started-open-source,2
http://sugarcrm-online.s3.amazonaws.com/media.sugarcrm.com/datasheets/EditionsComparison_CE.pdf,https://opensource.com/business/14/7/top-5-open-source-crm-tools,2
http://www.eetasia.com/ARTICLES/2001JUN/2001JUN18_NTEK_CT_AN5.PDF,https://opensource.com/resources/what-raspberry-pi,2
https://opensource.com/sites/default/files/beginners-in-open-source.odt,https://opensource.com/life/14/2/newcomer-frequently-asked-questions,1
https://opensource.com/sites/default/files/open_source_eBook_OpenGovernment_web.pdf,https://opensource.com/resources/ebook/opengov,1
http://15inno.contentrobotllc.netdna-cdn.com/wp-content/uploads/2012/08/Social-Media-for-Corporate-Innovators-and-Entrepreneurs.pdf,https://opensource.com/business/13/6/three-free-books-innovation,1
https://cdn.americanprogress.org/wp-content/uploads/kf/OS_CREDIT.PDF,https://opensource.com/government/16/3/ny-bill-tax-credit-open-source-contributors,1
http://15inno.contentrobotllc.netdna-cdn.com/wp-content/uploads/2012/08/Making-Open-Innovation-Work-by-Lindegaard.pdf,https://opensource.com/business/13/6/three-free-books-innovation,1
https://opensource.com/sites/default/files/open_always_wins_michael_tiemann_collection.epub,https://opensource.com/resources/ebook/open-always-wins,1
http://www.electrosmash.com/images/tech/1wamp/vault/1Wamp-bill-of-materials.pdf,https://opensource.com/life/16/1/build-open-hardware-guitar-amp,1
https://opensource.com/sites/default/files/open_science.epub,https://opensource.com/resources/ebook/open-science,1
https://opensource.com/sites/default/files/open_source_eBook_OpenMindedCEOs_web.pdf,https://opensource.com/resources/ebook/ceo,1
http://www.ententesoftware.com/documents/ComponentComplianceGuide.pdf,https://opensource.com/business/14/1/open-source-policy-works-practice,1
http://15inno.contentrobotllc.netdna-cdn.com/wp-content/uploads/2013/06/InnovationExercisesandInsightsbyLindegaard.pdf,https://opensource.com/business/13/6/three-free-books-innovation,1
http://www.pimusicbox.com/MusicBox_Manual.pdf,https://opensource.com/life/15/3/pi-musicbox-guide,1
https://opensource.com/sites/default/files/the_open_organization_chapter1.pdf,https://opensource.com/node/22516/download/c75bad16e34e291e4bfcae04758a89ac,1
https://opensource.com/sites/default/files/youth_in_open_source.epub,https://opensource.com/resources/ebook/youth-in-open-source,1
http://www.electrosmash.com/images/tech/1wamp/vault/1Wamp-schematic.pdf,https://opensource.com/life/16/1/build-open-hardware-guitar-amp,1
